,name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,difficulty
30,What I Made for Lunch on Saturday,1-1/2 POUND LINGUINE 1 BUNCH CILANTRO  ROUGHLY CHOPPED 4 WHOLE GREEN ONIONS  THINLY SLICED  _____  PEANUT DRESSING: 5 CLOVES GARLIC  PEELED 1 CUP CHUNKY PEANUT BUTTER 3/4 CUPS LOW SODIUM SOY SAUCE 4 TABLESPOONS (TO 5 TABLESPOONS) RED WINE VINEGAR 6 TABLESPOONS BROWN SUGAR 3 TABLESPOONS (TO 4 TABLESPOONS) RED CHILE OIL 1/4 CUP OLIVE OIL 1/4 CUP SESAME OIL (CAN ALSO USE 1/2 CUP OLIVE OIL) 1 TABLESPOON (TO 2 TABLESPOONS) TOASTED SESAME OIL (SOLD IN THE ASIAN AISLE),http://thepioneerwoman.com/cooking/2009/04/what-i-made-for-lunch-on-saturday/,http://static.thepioneerwoman.com/cooking/files/2009/04/what-i-made-for-lunch-on-saturday.jpg,PT10M,4,2009-04-27,PT20M,It's a long and lengthy process to explain why I cooked what I cooked for the Smitten Kitchen get together at the Lodge on Sa...,Medium
31,Leftover Brisket Tostadas, BEEF BRISKET LEFTOVERS 1 PACKAGE SMALL CORN TORTILLAS 1 CAN (ABOUT 16 OZ.) REFRIED BEANS 1 CAN (ABOUT 8 OZ.) HOT TOMATO SAUCE OR CHILI SAUCE (OPTIONAL)  PICO DE GALLO  SHREDDED CHEESE  LETTUCE  SOUR CREAM 1 WHOLE AVOCADO  VEGETABLE OIL,http://thepioneerwoman.com/cooking/2008/01/leftover_brisket_make_tostadas/,http://static.thepioneerwoman.com/cooking/files/2010/07/2189916287_31398ea690.jpg,PT5M,6,2008-01-15,PT15M,"    There are few things more exciting, culinarily speaking, than slaving away over a dish for hours, then finding a way to u...",Easy
32,Cooking With Pastor Ryan: Delicious Mexican Lasagna,4 CUPS UNPREPARED RICE 6 CUPS (TO 8 CUPS) LOW SODIUM CHICKEN BROTH/STOCK 4 WHOLE (TO 8) TOMATOES (UP TO YOU) 2 WHOLE (TO 3) ONIONS (UP TO YOU) 8 CLOVES (TO 14 CLOVES) OF GARLIC (UP TO YOU)  BUTTER  TACO SEASONING (OR CHILI POWDER  PAPRIKA  AND CUMIN) TO TASTE 1 CAN (TO 2 CANS) BLACK OR PINTO BEANS (UP TO YOU) 3 POUNDS LEAN GROUND BEEF 2 JARS (16 OUNCE) SALSA VERDE  FLOUR TORTILLAS 3 PACKAGES (16 OUNCES) MEXICAN CHEESE BLEND 1 JAR (16 OUNCE) ENCHILADA SAUCE 3 CANS CORN  DRAINED  SOUR CREAM  TO TASTE  CILANTRO  TO TASTE,http://thepioneerwoman.com/cooking/2008/08/cooking-with-pastor-ryan-delicious-mexican-lasagna/,http://static.thepioneerwoman.com/cooking/files/2008/08/Delicious-Mexican-Lasagna.jpg,PT35M,8,2008-08-14,PT45M,"Hello PW peeps. It's Ryan, and I'm so excited to share this recipe with you because this has truly been the go-to meal of the...",Hard
33,Spicy Shredded Pork,4 POUNDS (UP TO 7 POUNDS) PORK SHOULDER 1 TEASPOON DRIED OREGANO 1 TEASPOON GROUND CUMIN 1 TEASPOON CHILI POWDER 1 TABLESPOON (TO 2 TABLESPOONS) SALT  PEPPER TO TASTE 3 CLOVES (TO 4 CLOVES) GARLIC 1 TABLESPOON (TO 2 TABLESPOONS) OLIVE OIL 2 TABLESPOONS (TO 3 TABLESPOONS) WHITE WINE VINEGAR 1/4 CUP BROWN SUGAR 1 WHOLE ONION  LIME WEDGES,http://thepioneerwoman.com/cooking/2008/08/spicy-shredded-pork/,http://static.thepioneerwoman.com/cooking/files/2008/08/Spicy-Shredded-Pork.jpg,PT4H,8,2008-08-06,PT20M,"   Oh my goodness, am I ever in love with pork shoulder. Wait a minute...did I just say that? That I'm in love with pork...",Hard
34,Salad Tacos,16 WHOLE TACO SHELLS 2 POUNDS GROUND BEEF 3 TABLESPOONS TACO SEASONING 1 CAN (4 OUNCE) TOMATO PASTE  SALT TO TASTE 1 CAN (14.5 OUNCE) BEANS (KIDNEY  PINTO  CHILI)  UNDRAINED 1/2 CUP HOT WATER 1 HEAD GREEN LEAF LETTUCE  SLICED VERY THIN 1 CUP GRAPE TOMATOES  HALVED (OR DICED REGULAR TOMATOES) 1 CUP GRATED CHEESE (CHEDDAR  JACK  OR CHEDDAR/JACK)  FOR THE DRESSING: 1/4 CUP MAYONNAISE 1/4 CUP SOUR CREAM 1/4 CUP SALSA 1 TABLESPOON RANCH DRESSING MIX (OPTIONAL)  EXTRA HOT SAUCE (OPTIONAL)  CRUSHED TORTILLA CHIPS (OPTIONAL),http://thepioneerwoman.com/cooking/2013/01/salad-tacos/,http://static.thepioneerwoman.com/cooking/files/2013/01/tacos.jpg,PT15M,8,2013-01-31,PT10M,"I made these tacos before my family and I left for our trip to Colorado, and we devoured every bite. They're pretty much the ...",Easy
35,Thai Chicken Wraps,2 WHOLE BONELESS  SKINLESS CHICKEN BREASTS (BREAST HALVES)  OPTION 1 MARINADE/SAUCE 1 TABLESPOON RICE WINE VINEGAR 1/4 CUP SOY SAUCE 1 TEASPOON PURE SESAME OIL 1 TEASPOON HOT CHILI OIL  JUICE OF 2 LIMES 1 TABLESPOON MINCED FRESH GINGER 2 TABLESPOONS BROWN SUGAR (OPTIONAL) 1 TEASPOON CORNSTARCH 2 TABLESPOONS HONEY (OR BROWN SUGAR)  PEANUT OR CANOLA OIL FOR FRYING  PEANUT SAUCE 1/2 CUP PEANUT BUTTER (CRUNCH/CHUNKY IS GOOD!) 3 TABLESPOONS SOY SAUCE 3 TABLESPOONS HONEY 1/2 TEASPOON HOT CHILI OIL 1 TEASPOON CRUSHED RED PEPPER  JUICE OF 2 LIMES  WATER  AS NEEDED FOR THINNING  WRAPS 2 WHOLE WHOLE-WHEAT TORTILLAS  GREEN LEAF OR OTHER LETTUCE  LEAVES LEFT WHOLE OR SHREDDED 1 WHOLE LARGE CARROT  CUT INTO THIN STRIPS OR JULIENNE 1/2 WHOLE CUCUMBER  SEEDS SCRAPED OUT  CUT INTO STRIPS  CILANTRO LEAVES  SHELLED PEANUTS  OPTIONAL ADDITIONS:  BEAN SPROUTS  ALFALFA SPROUTS  BABY SPINACH LEAVES  THINLY SLICED RED ONION  SLICED GREEN ONION  BLANCHED ASPARAGUS  SALT AND PEPPER  TO TASTE  SRIRACHA,http://thepioneerwoman.com/cooking/2013/02/thai-chicken-wraps/,http://static.thepioneerwoman.com/cooking/files/2013/02/wraps.jpg,PT10M,2,2013-02-12,PT20M,"I made these yummy, crunchy, flavorful wraps after church last Sunday for the following reasons:    1. I was alone in the hou...",Medium
36,Beef Fajitas,1 WHOLE BEEF FLANK STEAK 1/2 CUP OLIVE OIL 3 TABLESPOONS WORCESTERSHIRE SAUCE 1/3 CUP LIME JUICE  FRESH SQUEEZED 3 CLOVES GARLIC  MINCED 1 TABLESPOON CUMIN 1 TABLESPOON CHILI POWDER 1/2 TEASPOON RED PEPPER FLAKES 1 TEASPOON SALT 1/2 TEASPOON BLACK PEPPER 1 TABLESPOON SUGAR 2 WHOLE MEDIUM ONIONS  HALVED AND SLICED 1 WHOLE RED BELL PEPPER  SLICED 1 WHOLE ORANGE BELL PEPPER  SLICED 1 WHOLE GREEN BELL PEPPER  SLICED 1 WHOLE YELLOW BELL PEPPER  SLICED  OIL  FOR FRYING  FLOUR TORTILLAS  WARMED  CHEESE (GRATED CHEDDAR/JACK OR CRUMBLED QUESO FRESCO)  SALSA  SOUR CREAM  CILANTRO LEAVES,http://thepioneerwoman.com/cooking/2013/03/beef-fajitas/,http://static.thepioneerwoman.com/cooking/files/2013/03/fajitas1.jpg,PT15M,8,2013-03-04,PT2H,"When I get a hankering for beef fajitas, I pretty much can think of nothing else until I eat them. I made them over the weeke...",Hard
37,Pioneer Woman’s Favorite Sandwich,1 TABLESPOON DIJON MUSTARD  TO TASTE 1 TABLESPOON MAYONNAISE  TO TASTE 1 WHOLE TOMATO 1 WHOLE RED ONION  SMALL 2 SLICES MILD CHEDDAR 1 CAN (4 OZ.) WHOLE GREEN CHILIES 2 SLICES PROVOLONE 2 SLICES RYE BREAD  BUTTER,http://thepioneerwoman.com/cooking/2007/10/pioneer_womans_favorite_sandwich/,http://static.thepioneerwoman.com/cooking/files/2010/07/1470622409_212bb118bd.jpg,PT5M,1,2007-10-02,PT10M,"    Mmmmm...this is it, folks: The Sandwich That Brings Me the Most Happiness in Life. Granted, it's no Marlboro Man's Favori...",Easy
38,Chocolate Calypso Beans (remix),1 LB. JACOB'S CATTLE BEANS 2 T. OLIVE OIL 1 LARGE ONION  CHOPPED 1 RED BELL PEPPER  CHOPPED 5 CLOVES GARLIC  MINCED 2T. GROUND  DRIED RED CHILIES (I USED MED-HOT CHIMAYO) 1 1/2 T GROUND CUMIN 2+ T.  GROUND CINNAMON  1 T. GROUND ALLSPICE 4 1/2 CUPS WATER OR VEGETABLE STOCK 1 12 OZ. BOTTLE NEGRO MODELO MEXICAN BEER 1 1/2 DISCS IBARRA MEXICAN CHOCOLATE,http://www.101cookbooks.com/archives/000116.html,http://www.101cookbooks.com/mt-static/images/food/ranchogordobeans.jpg,,,2004-09-06,,101 Cookbooks: Chocolate Calypso Beans Recipe,Unknown
39,Green Curry with Tofu,INGREDIENTS FOR CHILI PASTE: 2 GREEN HOT CHILIES (THAI CHILIES) 1 TABLESPOON CHOPPED SHALLOTS 1 TEASPOON CHOPPED GALANGAL  1/2 TEASPOON CHOPPED KAFFIR LIME RIND 1 TABLESPOON CHOPPED GARLIC 1 TABLESPOON CHOPPED LEMONGRASS 1 TABLESPOON CHOPPED KRACHAI 1/4 TEASPOON ROASTED CUMIN SEEDS 1/4 TEASPOON ROASTED CORIANDER SEEDS 1/2 TEASPOON SALT OTHER INGREDIENTS: 1 CUP SLICED EGGPLANTS 1/4 CUP SMALLER PEA-LIKE EGGPLANTS (MAKHEAU PHUANG) 1/3 CUP SLICED ONION 70 GRAMS SLICED CHICKEN (OR FIRM TOFU) 1 TEASPOON SUGAR 1 TABLESPOON FISH SAUCE (OR SOY SAUCE FOR VEGETARIANS) 3 KAFFIR LIME LEAVES 2 STEMS SWEET BASIL (HORAPAA) 1 CUP COCONUT MILK 1 CUP WATER (AGAIN  CHICKEN CAN BE REPLACED TOFU),http://www.101cookbooks.com/archives/000130.html,http://www.101cookbooks.com/mt-static/images/food/.jpg,,,2004-12-01,,101 Cookbooks: Green Curry with Tofu Recipe,Unknown
40,Wild Mushroom Salad Recips,150 G (5 OZ) ASSORTED WILD MUSHROOMS 2 TABLESPOONS STOCK PINCH OF SALT PINCH OF WHITE SUGAR - OPTIONAL 3 TABLESPOONS LIME JUICE (YOU MIGHT USE LESS) 2 TABLESPOONS FISH SAUCE (FOR VEG: SUBSTITUTE A SPLASH OF SOY SAUCE) LARGE PINCH OF ROASTED CHILI POWDER 4 SHALLOTS  SLICED HANDFUL OF MIXED MINT AND CORIANDER LEAVES 2 TABLESPOONS SHREDDED PAK CHII FARANG (LONG-LEAF CORIANDER) 1 TABLESPOON CHOPPED SPRING (GREEN) ONION 1 TABLESPOON GROUND ROASTED RICE -A FEW SPRIGS OF THAI BASIL -SLICED CABBAGE AND CUCUMBER,http://www.101cookbooks.com/archives/000140.html,http://www.101cookbooks.com/mt-static/images/food/thaiwildmush.jpg,,,2005-02-01,,101 Cookbooks: Wild Mushroom Salad Recipe,Unknown
41,Fresh Apple Salsa,2 TART APPLES  LOCALLY GROWN IF POSSIBLE 4 TABLESPOONS LIME JUICE 1 FRESH JALAPENO CHILE 1 FRESH ANAHEIM CHILE 1/2 MEDIUM ONION  FINELY CHOPPED HANDFUL OF CILANTRO  ROUGHLY CHOPPED 1/2 CUP (2 OUNCES) WALNUTS  COARSELY CHOPPED AND LIGHTLY TOASTED 2 TABLESPOONS PEELED AND FINELY SLIVERED FRESH GINGER 1/4 TEASPOON SALT,http://www.101cookbooks.com/archives/000170.html,http://www.101cookbooks.com/mt-static/images/food/applesalsa.jpg,,Serves 4 to 6.,2005-05-28,,101 Cookbooks: From the Archives: Fresh Apple Salsa Recipe,Unknown
42,Pierce Street Vegetarian Chili Recipe,2 TABLESPOONS OLIVE OIL 1 LARGE YELLOW ONION  CHOPPED 2 SHALLOTS  CHOPPED 8 SMALL/MED GARLIC CLOVES  FINELY CHOPPED 1 TABLESPOON GINGER  PEELED AND GRATED 3 TABLESPOONS CHILI POWDER 1 TEASPOON GROUND CUMIN 1 SERRANO PEPPER  SEEDED AND FINELY CHOPPED 1 CHIPOTLE PEPPER (FROM CAN OR REHYDRATE)  MINCED 1 28-OUNCE CAN OF CRUSHED TOMATOES 10  CUPS VEGETABLE BROTH 1 1/2 CUPS COOKED CHICKPEAS (CANNED IS FINE) 2 1/4 CUPS BLACK  BROWN  OR GREEN LENTILS (OR COMBO)  RINSED AND PICKED OVER 2/3 CUP PEARLED BARLEY OR PEARLED FARRO 2/3 CUP BULGUR WHEAT 1 TEASPOON FINE GRAIN SEA SALT (OR TO TASTE) TOPPINGS (OPT): A BIT OF CHOPPED SERRANOS  A BIT OF FETA OR DOLLOP OF THINNED OUT SALTED YOGURT  A DRIZZLE OF EQUAL PARTS CHOPPED FRESH OREGANO AND OLIVE OIL  CHOPPED ONION,http://www.101cookbooks.com/archives/pierce-street-vegetarian-chili-recipe.html,http://www.101cookbooks.com/mt-static/images/food/vegetarian_chili_recipe.jpg,,,2009-05-13,,"The best pot of chili I've made in years. A vegetarian chili recipe Inspired by a bunch of those little bags of remnant grains and pulses that collect in my cupboards - bulgur, farro, and lentils, join chile peppers, crushed tomatoes, some chickpeas, and a secret ingredient.",Unknown
43,Vegetarian Tortilla Soup Recipe,6-8 CORN TORTILLAS  CUT IN HALF AND THEN INTO  MATCHSTICK-THIN STRIPS A BIG SPLASH OF EXTRA VIRGIN OLIVE OIL FINE GRAIN SEA SALT 20 SMALL YELLOW OR RED CHERRY TOMATOES ANOTHER SPLASH OF EXTRA VIRGIN OLIVE OIL 3 CLOVES GARLIC  CHOPPED 1 LARGE WHITE ONION  CHOPPED 1 TEASPOON GROUND CUMIN 2 TEASPOONS GROUND CORIANDER 1 TEASPOON CAYENNE OR OTHER SPICY RED CHILI POWDER 1 14-OUNCE CAN CRUSHED TOMATOES 6 CUPS VEGETABLE BROTH (OR WATER) A FEW SUN-DRIED TOMATOES  CHOPPED 1/4 CUP OF GOAT CHEESE  CRUMBLED,http://www.101cookbooks.com/archives/vegetarian-tortilla-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/tortilla_soup_recipe.jpg,,Makes about 6 servings.,2008-06-19,,"My tortilla soup recipe - a full-bodied, spicy vegetarian broth envelops a nest of baked tortilla matchsticks. Tiny roasted tomatoes along with a bit of goat cheese lend tang and texture, and flecks of sun-dried tomatoes bring depth and richness to each bowl.",Unknown
44,Bourbon Baked Sweet Potatoes,5-6 CHUBBY  RED-FLESHED SWEET POTATOES SPLASH OF EXTRA-VIRGIN OLIVE OIL SALT AND PEPPER 1-INCH SQUARE OF GINGER  PEELED AND GRATED 2 GENEROUS PINCHES OF GROUND CINNAMON OR CANELA 1 GENEROUS PINCH OF GROUND CLOVES ZEST OF ONE LEMON (ORANGE ZEST WOULD BE GOOD TOO) 3T UNSALTED BUTTER  MELTED AND COOLED A BIT 1/4 CUP MAPLE SYRUP SPLASH OF MILK (2T. OR SO) SPLASH OF BOURBON (2T. OR SO) 1/4 FRESHLY GRATED PARMESAN (NOT FROM THE PLASTIC CONTAINER!) SPICY PECANS (RECIPE BELOW) 1 TABLESPOON UNSALTED BUTTER 2 CUPS PECANS 1/3 CUP BROWN SUGAR 1 TEASPOON PAPRIKA 1 TEASPOON RED CHILE POWDER 3 TABLESPOONS CIDER VINEGAR,http://www.101cookbooks.com/archives/000129.html,http://www.101cookbooks.com/mt-static/images/food/bourbonsweet2.jpg,,,2004-11-26,,101 Cookbooks: Bourbon Baked Sweet Potatoes Recipe,Unknown
45,Red Rice Salad with Boiled Eggs and Macadamias,1 3/4 CUPS TO 2 CUPS WATER 1 CUP RED RICE 2 TABLESPOONS OIL  4 LARGE SHALLOTS  CHOPPED 3 CLOVES GARLIC  CHOPPED 1 LARGE RED CHILE  SEEDED AND CHOPPED 1-INCH PIECE GINGER ROOT  CHOPPED (HS NOTE: I GRATED IT) 1 TEASPOON GROUND CORIANDER 1 LARGE CARROT  THINLY SLICED 8 OUNCES GREEN BEANS  TRIMMED AND CHOPPED 1/2 CUP COCONUT MILK (HS NOTE: LITE IS FINE) 1/4 CUP SOY SAUCE 1/2 TEASPOON MOLASSES 4 LARGE EGGS  BOILED AND PEELED 1 LARGE LIME  QUARTERED 1/2 CUP JULIENNED FRESH BASIL 1/4 CUP MACADAMIA NUTS  TOASTED AND CHOPPED,http://www.101cookbooks.com/archives/red-rice-salad-recipe.html,http://www.101cookbooks.com/mt-static/images/food/redricesaladrecipe_07.jpg,,Serves 8.,2007-09-19,,"Indonesian red rice salad with boiled eggs and macadamias. Riveting to look at, with a wonderfully complex array of flavors and textures to enjoy.
",Unknown
46,Rajasthani Buttermilk Curry Recipe,1 TABLESPOON VEGETABLE OIL (HS NOTE: I USED CLARIFIED BUTTER) 1 1/2 TEASPOONS BLACK MUSTARD SEEDS 1/2 TEASPOON CUMIN SEEDS 1/2 TEASPOON TURMERIC 1 LARGE OR 2 MEDIUM SCALLIONS  TRIMMED  SLICED LENGTHWISE IN HALF AND THEN CROSSWISE INTO 1-INCH LENGTHS 1 GREEN CAYENNE CHILE  MINCED (HS NOTE: THE SERRANO I HAD ON HAND WAS A REASONABLE SUBSTITUTE) 1/4 WATER  IF USING YOGURT 1 CUP PLAIN (FULL-OR-REDUCED FAT) YOGURT OR 1 1/4 CUPS BUTTERMILK 1/2 TEASPOON SALT  OR TO TASTE 2/3 TABLESPOONS CHOPPED CORIANDER LEAVES (HS NOTE: ALSO KNOWN AS CILANTRO),http://www.101cookbooks.com/archives/001407.html,http://www.101cookbooks.com/mt-static/images/food/buttermilk_curry_recipe.jpg,,Serves 2 to 3.,2006-05-18,,"Rajasthani buttermilk curry recipe from the award-winning cookbook Mangoes &amp; Curry Leaves, by Jeffrey Alford and Naomi Duguid.",Unknown
47,Roasted Cauliflower Recipe,4-INCH SEGMENT OF A THIN DAY-OLD BAGUETTE 1 MEDIUM HEAD OF CAULIFLOWER  WASHED EXTRA-VIRGIN OLIVE OIL SCANT 1/2 TEASPOON SALT 2 CLOVES GARLIC  MINCED 1 FRESH RED CHILE PEPPER  MINCED,http://www.101cookbooks.com/archives/001533.html,http://www.101cookbooks.com/mt-static/images/food/roastedcauliflower.jpg,,Serves 4. ,2006-11-29,,"Oven-roasted cauliflower florets with breadcrumbs, garlic, red chile pepper, salt and olive oil.",Unknown
48,Sweet Potato Pot Pie Recipe,3 TABLESPOONS EXTRA-VIRGIN OLIVE OIL   1 MEDIUM WHITE OR YELLOW ONION  CHOPPED   3 CLOVES GARLIC  CHOPPED   2 1/2 TO 3 CUPS SWEET POTATOES  PEELED AND DICED INTO  1/4-INCH PIECES   1/2 TEASPOON SALT (PLUS MORE TO TASTE)   1 TABLESPOON ADOBO SAUCE FROM A CAN OF CHIPOTLE CHILIES (OR MORE TO TASTE)   1 CUP CORN KERNELS  FRESH OR FROZEN   2 CUPS COLD WHOLE OR LOW-FAT MILK   2 TABLESPOONS CORNSTARCH   1 BOX PUFF PASTRY DOUGH (ALLOW 20 TO 30 MINUTES TO THAW)   1 EGG WHITE,http://www.101cookbooks.com/archives/000127.html,http://www.101cookbooks.com/mt-static/images/food/potpies1.jpg,,,2004-11-15,,"A recipe from my first book that was featured in the Washington post - sweet potatoes, chipotle, corn, onions, and puff pastry.",Unknown
49,Slurp-tastic Herb Noodles Recipe,4 OUNCES THIN  DRIED SPINACH PASTA  (THIN) 1 CUP COCONUT MILK (LIGHT IS FINE) SCANT 1 TABLESPOON GREEN OR YELLOW CURRY PASTE 1 1/2 CUPS LIGHTLY FLAVORED VEGETABLE BROTH ~1/4 TEASPOON SALT (MORE OR LESS DEPENDING ON THE SALTINESS OF YOUR BROTH) 6 OUNCES TOFU  CUT INTO SMALL CUBES OR PIECES 1/4 CUP CHIVES  MINCED 1/3 CUP CILANTRO  CHOPPED 1/4 CUP BASIL  CHOPPED JUST BEFORE USING PINCH OF CRUSHED RED CHILE PEPPERS,http://www.101cookbooks.com/archives/slurptastic-herb-noodles-recipe.html,http://www.101cookbooks.com/mt-static/images/food/herb_noodles.jpg,,Serves 2 to 4.,2008-09-30,,"A big, slurpy bowl of whisper-thin spinach noodles draped in a spicy curry and herb broth - inspired by a beautiful box of noodles I picked up in Mill Valley, Ca.",Unknown
50,Borlotti Bean Mole with Roast Winter Squash,~1 1/2 CUPS (7 OUNCES) FRESH BORLOTTI BEANS ~1 1/2 CUPS (7 OUNCES) WINTER SQUASH OLIVE OIL 4 - 5  BIG LEAVES OF KALE (3 1/2 OUNCES) 2 TABLESPOONS BUTTER 1 MEDIUM ONION  CHOPPED 2 - 4 RED JALAPENO CHILES  HALVED  SEEDED  AND CHOPPED 2 GARLIC CLOVES  CHOPPED 1 POUND OF FRESH PLUM TOMATOES  CHOPPED OR 14-OUNCE CAN 2 TEASPOONS PAPRIKA 1 OUNCE OF ALMONDS  DARK ROASTED AND FINELY GROUND 2 OUNCES DARK 70% DARK CHOCOLATE  BROKEN INTO PIECES SALT,http://www.101cookbooks.com/archives/borlotti-bean-mole-with-roast-winter-squash-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pumpkin_mole_recipe.jpg,,Serves 4.,2008-10-11,,"A rich, hearty vegetarian mole recipe from Denis Cotter's new book. Seasonal beans, squash, and kale are baked in a rich, hearty chocolate and paprika-spiked mole. ",Unknown
51,Pappardelle with Spiced Butter,1/4 TEASPOON SAFFRON THREADS PINCH OF SALT 1 STICK / 4 OZ / 100 G BUTTER 2 TABLESPOONS EXTRA VIRGIN OLIVE OIL 6 MEDIUM SHALLOTS  CHOPPED 1/2 TEASPOON GROUND GINGER 1/2 TEASPOON SWEET PAPRIKA 1/2 TEASPOON GROUND CORIANDER 1/2 TEASPOON GROUND CINNAMON SCANT 1/2 TEASPOON CAYENNE PEPPER 1/4 TEASPOON RED CHILE FLAKES 1/4 TEASPOON GROUND TURMERIC 1/4 TEASPOON+ FINE GRAIN SEA SALT BLACK PEPPER 1/2 POUND / 8 OZ / 225 G DRIED PAPPARDELLE EGG PASTA  1/2 POUND / 8 OZ / 225 G ASPARAGUS  SLICED INTO 1/4-INCH ROUNDS SPLASH OF CREAM 1/2 CUP / 2 OZ / 60 G PINE NUTS  TOASTED AND CHOPPED 2 TABLESPOONS ROUGHLY CHOPPED MINT 2 TABLESPOONS ROUGHLY CHOPPED PARSLEY,http://www.101cookbooks.com/archives/pappardelle-with-spiced-butter-recipe.html,http://www.101cookbooks.com/mt-static/images/food/spiced_pappardelle_recipe.jpg,PT10M,,2010-05-18,PT20M,"A recap of my Sunday, including a few portraits I shot, plus a top-notch pasta with spiced butter and asparagus inspired by a recipe from Yotam Ottolenghi's new book.",Medium
52,A Good Soup for the Sick,1 POUND CRANBERRY BEANS (LIKE BORLOTTI) 8 CUPS OF WATER 15 MEDIUM CLOVES OF GARLIC  PEELED AND TRIMMED 2 BIG SHALLOTS (I MIGHT HAVE USED A WHITE ONION BUT DIDN'T HAVE ONE)  SLICED ON THE AXIS INTO THIN CRESCENTS 2-3 DRIED SMOKED CHILES (I USED SMOKED SERRANOS) BUT I SUSPECT DRIED CHIPOTLES OR EVEN ONE OR TWO CHIPOTLES FROM THE CAN (IN ADOBO SAUCE) WOULD WORK NICELY 2 TEASPOONS+  FINE SEA SALT FOR SEASONING A DRIZZLE OF FLAVORFUL EXTRA-VIRGIN OLIVE OIL A SMALL HANDFUL OF CILANTRO  CHOPPED A COUPLE (OPTIONAL) HANDFULS OF A SALTY HARD CHEESE  PARMESAN  GRATED (I THINK MY MYSTERY CHEESE WAS ACTUALLY THREE SISTERS SERENA),http://www.101cookbooks.com/archives/001397.html,http://www.101cookbooks.com/mt-static/images/food/soup_for_when_sick.jpg,,Serves 4 to 6,2006-04-21,,"Turn to this miraculously delicious soup when you are feeling sick - beans, water, garlic, shallots, chiles. Total active prep time was under five minutes, the rest is just waiting and anticipating.
",Unknown
53,Lively Up Yourself Lentil Soup Recipe,2 CUPS BLACK BELUGA LENTILS (OR GREEN FRENCH LENTILS)  PICKED OVER AND RINSED 1 TABLESPOON EXTRA VIRGIN OLIVE OIL 1 LARGE ONION  CHOPPED 1 TEASPOON FINE-GRAIN SEA SALT 1 28-OUNCE CAN CRUSHED TOMATOES 2 CUPS WATER  3 CUPS OF A BIG LEAFY GREEN (CHARD  KALE  ETC)  RINSED WELL  DEVEINED  FINELY CHOPPED SAFFRON YOGURT A PINCH OF SAFFRON (30-40 THREADS) 1 TABLESPOON BOILING WATER TWO PINCHES OF SALT 1/2 CUP 2% GREEK YOGURT  VARIATIONS: - YOU CAN SERVE IT WITH A POACHED EGG ON TOP  - OR CRUNCHY  FRIED SHALLOTS  - WITH A DRIZZLE OF CHIVE INFUSED CREAM  - OR WITH CHUNKS OF TINY PAN-FRIED BUTTERNUT SQUASH CUBES. - MAKE A THICKER VERSION BY USING JUST A BIT OF WATER  AND THEN SPOON IT OVER AN OMELETTE IN THE MORNING. - HAVE SOME COOKED FARRO OR WHEAT BERRIES AROUND? TOSS SOME IN. MILLET MIGHT BE GOOD TOO. - YOU CAN FINISH THE SOUP BY ADDING YOUR FAVORITE SPICES OR SPICE BLENDS. SMOKED PAPRIKA  CRUSHED CHILES  TOASTED CUMIN  WOULD ALL WORK NICELY.,http://www.101cookbooks.com/archives/lively-up-yourself-lentil-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/lentil_soup_recipe_07.jpg,,Serves 6 to 8. ,2008-01-03,,"Healthy, quick, and satisfying this lentil soup recipe delivers layer after layer of flavor. The tang of the tomatoes plays off the earthiness of the lentils, and the fragrant bolt of saffron yogurt brightens each bowl.",Unknown
54,Palak Daal,1 CUP / 6.5 OZ / 185 G WHITE URID OR URAD DAAL  PICKED OVER AND RINSED 6 CUPS / 1.5 LITERS WATER  PLUS MORE IF NECESSARY 1/2 POUND SPINACH  WASHED AND FINELY CHOPPED 1 TABLESPOON GINGER  PEELED AND FINELY CHOPPED 1/2 TEASPOON TURMERIC 2 MEDIUM GREEN CHILE PEPPERS  MINCED 2 TOMATOES  CHOPPED 1/2 TEASPOON SALT 2 TABLESPOONS BUTTER 1/2 TEASPOON CUMIN SEEDS 1 TEASPOON PURE RED CHILE POWDER A PINCH OF ASAFETIDA  OPTIONAL MORE SALT TO TASTE JUICE OF 1/2 A LEMON 1/4 CUP CILANTRO  CHOPPED,http://www.101cookbooks.com/archives/palak-daal-recipe.html,http://www.101cookbooks.com/mt-static/images/food/palak_daal_recipe.jpg,PT120M,,2010-01-30,PT20M,"A palak daal recipe from Kasa's Anamika Khanna - a hearty pot of spinach, lentils, and spices. Kasa is a favorite Indian restaurant of mine here in San Francisco.",Hard
